The first number is the main one, and then after the comma, the connecting rooms to the first one are listed based on ID , E , NE , NW , W , SW , SE , 0 is a wall
1 , 0 , 0 , 26 , 0 , 0 , 7 ,
2   , 0 , 0 , 27 , 0 , 7 , 8 ,
3   , 4 , 0 , 28 , 0 , 0 , 9 ,
4   , 5 , 0 , 29 , 3 , 9 , 10 ,
5   , 0 , 26 , 0 , 4 , 0 , 6 ,
6  ,  7 , 0 , 5 , 0 , 0 , 11 ,
7  ,  0 , 2 , 1 , 6 , 0 , 12 ,
8  ,  0 , 0 , 2 , 0 , 12 , 13 ,
9   , 0 , 4 , 3 , 0 , 0 , 14 ,
10  , 0 , 0 , 4 , 0 , 0 , 15 ,
11  , 12 , 0 , 6 , 0 , 0 , 17 ,
12  , 0 , 8 , 7 , 11 , 17 , 0 ,
13  , 14 , 0 , 8 , 0 , 0 , 0 ,
14  , 0 , 0 , 9 , 13 , 0 , 20 ,
15  , 0 , 0 , 10 , 0 , 20 , 16 ,
16  , 0 , 0 , 15 , 0 , 25 , 21 ,
17  , 18 , 12 , 11 , 0 , 0 , 22 ,
18  , 0 , 0 , 0 , 17 , 0 , 23 ,
19  , 20 , 0 , 0 , 0 , 23 , 24 ,
20  , 0 , 15 , 14 , 19 , 0 , 25 ,
21  , 22 , 0 , 16 , 0 , 0 , 27 ,
22  , 23 , 0 , 17 , 21 , 27 , 0 ,
23  , 0 , 19 , 18 , 22 , 0 , 0 ,
24  , 0 , 0 , 19 , 0 , 29 , 0 ,
25  , 0 , 16 , 20 , 0 , 30 , 26 ,
26  , 0 , 0 , 25 , 30 , 5 , 1 ,
27  , 28 , 22 , 21 , 0 , 0 , 2 ,
28  , 29 , 0 , 0 , 27 , 0 , 3 ,
29  , 30 , 24 , 0 , 28 , 0 , 4 ,
30  , 26 , 25 , 0 , 29 , 0 , 0 ,
